File,Line,Message
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/subchannel_stream_client.h,86,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/subchannel_stream_client.h,90,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/subchannel_stream_client.h,94,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/subchannel_stream_client.h,121,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/subchannel_stream_client.h,130,Found ')' without opening '(' for trailing return type ' -> mu_)...'
/Users/nikhil/Programming/GitHub/grpc/src/core/credentials/call/jwt/jwt_verifier.cc,989,"Reached end of file while still inside a (nested) comment. Nesting level 2 (probable line reference: 760, 760)"
/Users/nikhil/Programming/GitHub/grpc/src/core/credentials/call/token_fetcher/token_fetcher_credentials.h,107,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/credentials/call/token_fetcher/token_fetcher_credentials.h,118,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/credentials/call/token_fetcher/token_fetcher_credentials.h,145,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/credentials/call/token_fetcher/token_fetcher_credentials.h,148,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/credentials/call/token_fetcher/token_fetcher_credentials.h,124,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/handshaker/security/legacy_secure_endpoint.cc,222,Found ')' without opening '(' for trailing return type ' -> read_mu)...'
